"BehaviorSpace results (NetLogo 3D 5.0.4)"
"/home/ouit-modelling4all/kkahn/models/k-62-updating-experiments.nlogo3d"
"Argument-1"
"09/17/2013 00:04:05:328 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","the-kepler-62-c-argument","the-kepler-62-d-argument","the-kepler-62-f-argument","the-kepler-62-b-argument","the-kepler-62-e-argument","[step]","[my-orbits-length] of the-kepler-62-b","[my-orbits-length] of the-kepler-62-c","[my-orbits-length] of the-kepler-62-d","[my-orbits-length] of the-kepler-62-e","[my-orbits-length] of the-kepler-62-f","(orbits-ok)","(years-ok)"
"13","186","40","240","278","249","257084","[493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494280]","[1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075680 1075500 1075680 1075860 1075680 1075500 1075860 1075680 1075500 1075860 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075500 1075680 1075860]","[1579500 1578960 1579320 1579140 1579680 1579140 1579320 1579680 1578960 1579680 1579140 1579500 1578960 1579500 1579140 1578960 1578960 1579680 1578780 1579680 1579320 1579320 1579140 1579320 1579680 1578960 1579500 1579140 1579680]","[10664640 10679760 10672200 10621620]","[23143500 23131620]","""orbits-ok""","""years-ok"""
"8","186","40","105","357","293","256834","[493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494280]","[1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075500 1075680 1075680 1075500 1075680 1075680 1075680 1075500 1075860 1075680 1075680 1075680 1075680 1075500 1075860 1075500 1075680 1075680 1075680 1075500 1075680 1075500 1075500 1075680 1075860]","[1579860 1578960 1579500 1579500 1579320 1579140 1579500 1579860 1578780 1580040 1579320 1579320 1578960 1579500 1579320 1578780 1579500 1579500 1578960 1579500 1579500 1579320 1579140 1579680 1579680 1578780 1579860 1579140 1579320]","[10951740 10659600 10678680 10666260]","[23115060 23115060]","""orbits-ok""","""years-ok"""
"12","186","40","240","199","337","256910","[493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494280]","[1075680 1075680 1075680 1075860 1075500 1075680 1075860 1075500 1075680 1075680 1075680 1075680 1075680 1075500 1075500 1075680 1075680 1075500 1075500 1075680 1075680 1075500 1075680 1075680 1075680 1075860 1075500 1075680 1075860 1075500 1075680 1075860 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075500 1075680 1075860]","[1580040 1578780 1580040 1579860 1579500 1579500 1579860 1580040 1578960 1580580 1579320 1579680 1579140 1580040 1579320 1579140 1579860 1579500 1579140 1579860 1579860 1579320 1579680 1579860 1579680 1578960 1580220 1579320 1579500]","[10500660 10612800 10542060 10505700]","[23117040 23126760]","""orbits-ok""","""years-ok"""
"5","186","40","105","278","293","256834","[493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494280]","[1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075500 1075680 1075680 1075500 1075680 1075680 1075680 1075500 1075860 1075680 1075680 1075680 1075680 1075500 1075860 1075500 1075680 1075680 1075680 1075500 1075680 1075500 1075500 1075680 1075860]","[1579860 1578960 1579500 1579500 1579320 1579140 1579500 1579860 1578780 1580040 1579320 1579320 1578960 1579500 1579320 1578780 1579500 1579500 1578960 1579500 1579500 1579320 1579140 1579680 1579680 1578780 1579860 1579140 1579320]","[10951740 10659600 10678680 10666260]","[23115060 23115060]","""orbits-ok""","""years-ok"""
"11","186","40","240","199","293","257274","[493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494280]","[1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075500 1075680 1075680 1075500 1075680 1075680 1075680 1075500 1075860 1075680 1075680 1075680 1075680 1075500 1075860 1075500 1075680 1075680 1075680 1075500 1075680 1075500 1075500 1075680 1075860]","[1579860 1578780 1579320 1579500 1579500 1579140 1579500 1580040 1578600 1580040 1579140 1579500 1578960 1579680 1579320 1578780 1579320 1579500 1578960 1579500 1579680 1579320 1579140 1579500 1579680 1578780 1579860 1579320 1579320]","[10732140 10710180 10743480 10598400]","[23150520 23158800]","""orbits-ok""","""years-ok"""
"9","186","40","105","357","337","256832","[493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493740 494100 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494280]","[1075680 1075680 1075680 1075860 1075500 1075680 1075860 1075500 1075680 1075860 1075500 1075680 1075680 1075500 1075500 1075680 1075680 1075500 1075500 1075680 1075680 1075500 1075680 1075680 1075680 1075860 1075500 1075680 1075860 1075500 1075680 1075860 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075500 1075680 1075860]","[1580040 1578960 1580220 1579860 1579500 1579320 1579860 1580040 1578960 1580760 1579320 1579500 1579140 1579860 1579320 1579320 1579860 1579680 1578960 1579860 1579680 1579320 1579860 1579860 1579680 1579140 1579860 1579320 1579500]","[11043360 10665360 10764900 10659240]","[23120280 23109480]","""orbits-ok""","""Kepler-62 e"""
"17","186","40","240","357","293","257274","[493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494280]","[1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075500 1075680 1075680 1075500 1075680 1075680 1075680 1075500 1075860 1075680 1075680 1075680 1075680 1075500 1075860 1075500 1075680 1075680 1075680 1075500 1075680 1075500 1075500 1075680 1075860]","[1579860 1578780 1579320 1579500 1579500 1579140 1579500 1580040 1578600 1580040 1579140 1579500 1578960 1579680 1579320 1578780 1579320 1579500 1578960 1579500 1579680 1579320 1579140 1579500 1579680 1578780 1579860 1579320 1579320]","[10732140 10710180 10743480 10598400]","[23150520 23158800]","""orbits-ok""","""years-ok"""
"21","186","40","360","199","337","256435","[493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494280]","[1075680 1075680 1075680 1075680 1075680 1075680 1075860 1075500 1075680 1075680 1075680 1075680 1075680 1075500 1075500 1075680 1075680 1075500 1075500 1075680 1075680 1075500 1075680 1075680 1075680 1075680 1075680 1075680 1075860 1075500 1075680 1075860 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075500 1075680 1075860]","[1580040 1578960 1580220 1579860 1579860 1579680 1579860 1580040 1578780 1580940 1579320 1579680 1579320 1580040 1579320 1579320 1579860 1579680 1579140 1580220 1579680 1579500 1579680 1579860 1579680 1579140 1580220 1579500 1579500]","[10597320 10602360 10440540 10546560]","[23090220 23068080]","""orbits-ok""","""years-ok"""
"19","186","40","360","199","249","256612","[493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 494100 493740 494100 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494280]","[1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075680 1075500 1075680 1075860 1075680 1075500 1075860 1075680 1075500 1075860 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075500 1075680 1075860]","[1579680 1578960 1579320 1579500 1579680 1579320 1579320 1579680 1578960 1579860 1579140 1579680 1578960 1579500 1579320 1578960 1578960 1579680 1579140 1579680 1579500 1579320 1579140 1579320 1579860 1578960 1579680 1579140 1579680]","[10900080 10688400 10707840 10670400]","[23102640 23087520]","""orbits-ok""","""years-ok"""
"22","186","40","360","278","249","256612","[493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 494100 493740 494100 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494280]","[1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075680 1075500 1075680 1075860 1075680 1075500 1075860 1075680 1075500 1075860 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075500 1075680 1075860]","[1579680 1578960 1579320 1579500 1579680 1579320 1579320 1579680 1578960 1579860 1579140 1579680 1578960 1579500 1579320 1578960 1578960 1579680 1579140 1579680 1579500 1579320 1579140 1579320 1579860 1578960 1579680 1579140 1579680]","[10900080 10688400 10707840 10670400]","[23102640 23087520]","""orbits-ok""","""years-ok"""
