BehaviorSpace results (NetLogo 3D 5.0.4),,,,,,,,,,,,,
/home/ouit-modelling4all/kkahn/models/kepler-36-experiment-300.nlogo3d,,,,,,,,,,,,,
section 2 of 3 of the kepler-36 experiments,,,,,,,,,,,,,
09/04/2013 09:49:34:747 +0100,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,
-50,50,-50,50,,,,,,,,,,
[run number],c-mean-anomaly,b-mass,c-semi-major-axis,b-semi-major-axis,b-mean-anomaly,c-logitude,b-logitude,c-mass,[step],[my-orbits-length] of the-kepler-36-c,[my-orbits-length] of the-kepler-36-b,orbits-ok,years-ok
28,300,2.49E+25,18890000,17560000,150,5,240,4.52E+25,120886,[1411560 1411680 1411800 1411320 1412220 194580],[1165620 1165500 1165320 1166160 1164720 993720],"""orbits-ok""","""years-ok"""
27,300,2.49E+25,18890000,17560000,300,145,150,5.16E+25,126357,[1339320 1364340 1382220 1382340 1382100 731100],[1218480 1261260 1260840 1261140 1261500 96780],"""orbits-ok""","""Kepler-36 c"""
31,300,2.49E+25,18890000,17560000,150,5,244,4.52E+25,120886,[1411560 1411680 1411800 1411320 1412220 194580],[1165620 1165500 1165320 1166160 1164720 993720],"""orbits-ok""","""years-ok"""
32,300,2.49E+25,18890000,17560000,150,5,244,4.84E+25,120886,[1411560 1411680 1411800 1411320 1412220 194580],[1165740 1165500 1165320 1166280 1164660 993720],"""orbits-ok""","""years-ok"""
30,300,2.49E+25,18890000,17560000,150,5,240,5.16E+25,120886,[1411560 1411680 1411800 1411320 1412220 194580],[1165740 1165560 1165320 1166340 1164660 993720],"""orbits-ok""","""years-ok"""
34,300,2.49E+25,18890000,17560000,150,5,150,4.52E+25,120886,[1411560 1411680 1411800 1411320 1412220 194580],[1165620 1165500 1165320 1166160 1164720 993720],"""orbits-ok""","""years-ok"""
33,300,2.49E+25,18890000,17560000,150,5,244,5.16E+25,120886,[1411560 1411680 1411800 1411320 1412220 194580],[1165740 1165560 1165320 1166340 1164660 993720],"""orbits-ok""","""years-ok"""
36,300,2.49E+25,18890000,17560000,150,5,150,5.16E+25,120886,[1411560 1411680 1411800 1411320 1412220 194580],[1165740 1165560 1165320 1166340 1164660 993720],"""orbits-ok""","""years-ok"""
35,300,2.49E+25,18890000,17560000,150,5,150,4.84E+25,120886,[1411560 1411680 1411800 1411320 1412220 194580],[1165740 1165500 1165320 1166280 1164660 993720],"""orbits-ok""","""years-ok"""
38,300,2.49E+25,18890000,17560000,150,8,240,4.84E+25,121343,[1415460 1415460 1415580 1415100 1415880 203100],[1165500 1165380 1165140 1166040 1164660 993720],"""orbits-ok""","""years-ok"""
40,300,2.49E+25,18890000,17560000,150,8,244,4.52E+25,121343,[1415460 1415460 1415580 1415100 1415880 203100],[1165500 1165320 1165140 1165920 1164720 993720],"""orbits-ok""","""years-ok"""
39,300,2.49E+25,18890000,17560000,150,8,240,5.16E+25,121342,[1415400 1415460 1415640 1415040 1415880 203100],[1165560 1165380 1165140 1166100 1164660 993720],"""orbits-ok""","""years-ok"""
37,300,2.49E+25,18890000,17560000,150,8,240,4.52E+25,121343,[1415460 1415460 1415580 1415100 1415880 203100],[1165500 1165320 1165140 1165920 1164720 993720],"""orbits-ok""","""years-ok"""
41,300,2.49E+25,18890000,17560000,150,8,244,4.84E+25,121343,[1415460 1415460 1415580 1415100 1415880 203100],[1165500 1165380 1165140 1166040 1164660 993720],"""orbits-ok""","""years-ok"""
42,300,2.49E+25,18890000,17560000,150,8,244,5.16E+25,121342,[1415400 1415460 1415640 1415040 1415880 203100],[1165560 1165380 1165140 1166100 1164660 993720],"""orbits-ok""","""years-ok"""
44,300,2.49E+25,18890000,17560000,150,8,150,4.84E+25,121343,[1415460 1415460 1415580 1415100 1415880 203100],[1165500 1165380 1165140 1166040 1164660 993720],"""orbits-ok""","""years-ok"""
43,300,2.49E+25,18890000,17560000,150,8,150,4.52E+25,121343,[1415460 1415460 1415580 1415100 1415880 203100],[1165500 1165320 1165140 1165920 1164720 993720],"""orbits-ok""","""years-ok"""
48,300,2.49E+25,18890000,17560000,150,145,240,5.16E+25,127268,[1378980 1381020 1381800 1381560 1381680 731040],[1169820 1164840 1165140 1165380 1165260 993840],"""orbits-ok""","""years-ok"""
45,300,2.49E+25,18890000,17560000,150,8,150,5.16E+25,121342,[1415400 1415460 1415640 1415040 1415880 203100],[1165560 1165380 1165140 1166100 1164660 993720],"""orbits-ok""","""years-ok"""
46,300,2.49E+25,18890000,17560000,150,145,240,4.52E+25,127267,[1378920 1381020 1381800 1381560 1381680 731040],[1169280 1164840 1165140 1165320 1165200 993840],"""orbits-ok""","""years-ok"""
47,300,2.49E+25,18890000,17560000,150,145,240,4.84E+25,127267,[1378920 1381020 1381800 1381560 1381680 731040],[1169520 1164840 1165140 1165320 1165260 993840],"""orbits-ok""","""years-ok"""
50,300,2.49E+25,18890000,17560000,150,145,244,4.84E+25,127267,[1378920 1381020 1381800 1381560 1381680 731040],[1169520 1164840 1165140 1165320 1165260 993840],"""orbits-ok""","""years-ok"""
49,300,2.49E+25,18890000,17560000,150,145,244,4.52E+25,127267,[1378920 1381020 1381800 1381560 1381680 731040],[1169280 1164840 1165140 1165320 1165200 993840],"""orbits-ok""","""years-ok"""
51,300,2.49E+25,18890000,17560000,150,145,244,5.16E+25,127268,[1378980 1381020 1381800 1381560 1381680 731040],[1169820 1164840 1165140 1165380 1165260 993840],"""orbits-ok""","""years-ok"""
52,300,2.49E+25,18890000,17560000,150,145,150,4.52E+25,127267,[1378920 1381020 1381800 1381560 1381680 731040],[1169280 1164840 1165140 1165320 1165200 993840],"""orbits-ok""","""years-ok"""
53,300,2.49E+25,18890000,17560000,150,145,150,4.84E+25,127267,[1378920 1381020 1381800 1381560 1381680 731040],[1169520 1164840 1165140 1165320 1165260 993840],"""orbits-ok""","""years-ok"""
57,300,2.49E+25,18890000,17560000,145,5,240,5.16E+25,120912,[1411920 1412100 1412100 1411860 1412160 194580],[1167900 1167660 1167480 1168020 1167360 1001580],"""orbits-ok""","""years-ok"""
54,300,2.49E+25,18890000,17560000,150,145,150,5.16E+25,127268,[1378980 1381020 1381800 1381560 1381680 731040],[1169820 1164840 1165140 1165380 1165260 993840],"""orbits-ok""","""years-ok"""
55,300,2.49E+25,18890000,17560000,145,5,240,4.52E+25,120912,[1411920 1412100 1412100 1411860 1412160 194580],[1167840 1167720 1167480 1168020 1167360 1001580],"""orbits-ok""","""years-ok"""
56,300,2.49E+25,18890000,17560000,145,5,240,4.84E+25,120912,[1411920 1412100 1412100 1411860 1412160 194580],[1167840 1167720 1167480 1168020 1167360 1001580],"""orbits-ok""","""years-ok"""
58,300,2.49E+25,18890000,17560000,145,5,244,4.52E+25,120912,[1411920 1412100 1412100 1411860 1412160 194580],[1167840 1167720 1167480 1168020 1167360 1001580],"""orbits-ok""","""years-ok"""
60,300,2.49E+25,18890000,17560000,145,5,244,5.16E+25,120912,[1411920 1412100 1412100 1411860 1412160 194580],[1167900 1167660 1167480 1168020 1167360 1001580],"""orbits-ok""","""years-ok"""
59,300,2.49E+25,18890000,17560000,145,5,244,4.84E+25,120912,[1411920 1412100 1412100 1411860 1412160 194580],[1167840 1167720 1167480 1168020 1167360 1001580],"""orbits-ok""","""years-ok"""
62,300,2.49E+25,18890000,17560000,145,5,150,4.84E+25,120912,[1411920 1412100 1412100 1411860 1412160 194580],[1167840 1167720 1167480 1168020 1167360 1001580],"""orbits-ok""","""years-ok"""
61,300,2.49E+25,18890000,17560000,145,5,150,4.52E+25,120912,[1411920 1412100 1412100 1411860 1412160 194580],[1167840 1167720 1167480 1168020 1167360 1001580],"""orbits-ok""","""years-ok"""
64,300,2.49E+25,18890000,17560000,145,8,240,4.52E+25,121367,[1415760 1415880 1415880 1415520 1415880 203100],[1167720 1167600 1167360 1167840 1167420 1001580],"""orbits-ok""","""years-ok"""
63,300,2.49E+25,18890000,17560000,145,5,150,5.16E+25,120912,[1411920 1412100 1412100 1411860 1412160 194580],[1167900 1167660 1167480 1168020 1167360 1001580],"""orbits-ok""","""years-ok"""
65,300,2.49E+25,18890000,17560000,145,8,240,4.84E+25,121367,[1415760 1415880 1415880 1415520 1415880 203100],[1167720 1167540 1167360 1167900 1167360 1001580],"""orbits-ok""","""years-ok"""
66,300,2.49E+25,18890000,17560000,145,8,240,5.16E+25,121367,[1415760 1415880 1415880 1415520 1415880 203100],[1167780 1167540 1167300 1167900 1167360 1001580],"""orbits-ok""","""years-ok"""
67,300,2.49E+25,18890000,17560000,145,8,244,4.52E+25,121367,[1415760 1415880 1415880 1415520 1415880 203100],[1167720 1167600 1167360 1167840 1167420 1001580],"""orbits-ok""","""years-ok"""
68,300,2.49E+25,18890000,17560000,145,8,244,4.84E+25,121367,[1415760 1415880 1415880 1415520 1415880 203100],[1167720 1167540 1167360 1167900 1167360 1001580],"""orbits-ok""","""years-ok"""
69,300,2.49E+25,18890000,17560000,145,8,244,5.16E+25,121367,[1415760 1415880 1415880 1415520 1415880 203100],[1167780 1167540 1167300 1167900 1167360 1001580],"""orbits-ok""","""years-ok"""
70,300,2.49E+25,18890000,17560000,145,8,150,4.52E+25,121367,[1415760 1415880 1415880 1415520 1415880 203100],[1167720 1167600 1167360 1167840 1167420 1001580],"""orbits-ok""","""years-ok"""
71,300,2.49E+25,18890000,17560000,145,8,150,4.84E+25,121367,[1415760 1415880 1415880 1415520 1415880 203100],[1167720 1167540 1167360 1167900 1167360 1001580],"""orbits-ok""","""years-ok"""
72,300,2.49E+25,18890000,17560000,145,8,150,5.16E+25,121367,[1415760 1415880 1415880 1415520 1415880 203100],[1167780 1167540 1167300 1167900 1167360 1001580],"""orbits-ok""","""years-ok"""
73,300,2.49E+25,18890000,17560000,145,145,240,4.52E+25,127305,[1380660 1381620 1381740 1381560 1381680 731040],[1169700 1167660 1167840 1168080 1167900 1001640],"""orbits-ok""","""years-ok"""
74,300,2.49E+25,18890000,17560000,145,145,240,4.84E+25,127305,[1380720 1381560 1381740 1381560 1381680 731040],[1169820 1167660 1167840 1168080 1167960 1001640],"""orbits-ok""","""years-ok"""
75,300,2.49E+25,18890000,17560000,145,145,240,5.16E+25,127305,[1380720 1381560 1381740 1381560 1381680 731040],[1170000 1167600 1167900 1168080 1167960 1001640],"""orbits-ok""","""years-ok"""
77,300,2.49E+25,18890000,17560000,145,145,244,4.84E+25,127305,[1380720 1381560 1381740 1381560 1381680 731040],[1169820 1167660 1167840 1168080 1167960 1001640],"""orbits-ok""","""years-ok"""
76,300,2.49E+25,18890000,17560000,145,145,244,4.52E+25,127305,[1380660 1381620 1381740 1381560 1381680 731040],[1169700 1167660 1167840 1168080 1167900 1001640],"""orbits-ok""","""years-ok"""
78,300,2.49E+25,18890000,17560000,145,145,244,5.16E+25,127305,[1380720 1381560 1381740 1381560 1381680 731040],[1170000 1167600 1167900 1168080 1167960 1001640],"""orbits-ok""","""years-ok"""
79,300,2.49E+25,18890000,17560000,145,145,150,4.52E+25,127305,[1380660 1381620 1381740 1381560 1381680 731040],[1169700 1167660 1167840 1168080 1167900 1001640],"""orbits-ok""","""years-ok"""
80,300,2.49E+25,18890000,17560000,145,145,150,4.84E+25,127305,[1380720 1381560 1381740 1381560 1381680 731040],[1169820 1167660 1167840 1168080 1167960 1001640],"""orbits-ok""","""years-ok"""
82,300,2.49E+25,18890000,17270000,300,5,240,4.52E+25,121085,[1414140 1413900 1414020 1414200 1414080 194760],[1227780 1227840 1227540 1227360 1228200 95700],"""orbits-ok""","""years-ok"""
81,300,2.49E+25,18890000,17560000,145,145,150,5.16E+25,127305,[1380720 1381560 1381740 1381560 1381680 731040],[1170000 1167600 1167900 1168080 1167960 1001640],"""orbits-ok""","""years-ok"""
83,300,2.49E+25,18890000,17270000,300,5,240,4.84E+25,121085,[1414080 1413960 1414020 1414200 1414080 194760],[1227540 1227540 1227360 1227060 1227960 95700],"""orbits-ok""","""years-ok"""
84,300,2.49E+25,18890000,17270000,300,5,240,5.16E+25,121086,[1414140 1413900 1414020 1414260 1414080 194760],[1227240 1227300 1227060 1226760 1227780 95700],"""orbits-ok""","""years-ok"""
86,300,2.49E+25,18890000,17270000,300,5,244,4.84E+25,121085,[1414080 1413960 1414020 1414200 1414080 194760],[1227540 1227540 1227360 1227060 1227960 95700],"""orbits-ok""","""years-ok"""
85,300,2.49E+25,18890000,17270000,300,5,244,4.52E+25,121085,[1414140 1413900 1414020 1414200 1414080 194760],[1227780 1227840 1227540 1227360 1228200 95700],"""orbits-ok""","""years-ok"""
87,300,2.49E+25,18890000,17270000,300,5,244,5.16E+25,121086,[1414140 1413900 1414020 1414260 1414080 194760],[1227240 1227300 1227060 1226760 1227780 95700],"""orbits-ok""","""years-ok"""
88,300,2.49E+25,18890000,17270000,300,5,150,4.52E+25,121085,[1414140 1413900 1414020 1414200 1414080 194760],[1227780 1227840 1227540 1227360 1228200 95700],"""orbits-ok""","""years-ok"""
89,300,2.49E+25,18890000,17270000,300,5,150,4.84E+25,121085,[1414080 1413960 1414020 1414200 1414080 194760],[1227540 1227540 1227360 1227060 1227960 95700],"""orbits-ok""","""years-ok"""
90,300,2.49E+25,18890000,17270000,300,5,150,5.16E+25,121086,[1414140 1413900 1414020 1414260 1414080 194760],[1227240 1227300 1227060 1226760 1227780 95700],"""orbits-ok""","""years-ok"""
91,300,2.49E+25,18890000,17270000,300,8,240,4.52E+25,121506,[1417440 1417320 1417320 1417560 1417560 203160],[1228440 1228440 1228200 1228020 1229100 95700],"""orbits-ok""","""years-ok"""
93,300,2.49E+25,18890000,17270000,300,8,240,5.16E+25,121508,[1417500 1417260 1417380 1417620 1417560 203160],[1227960 1228020 1227780 1227480 1228800 95700],"""orbits-ok""","""years-ok"""
92,300,2.49E+25,18890000,17270000,300,8,240,4.84E+25,121507,[1417500 1417260 1417380 1417560 1417560 203160],[1228200 1228200 1228020 1227720 1228980 95700],"""orbits-ok""","""years-ok"""
94,300,2.49E+25,18890000,17270000,300,8,244,4.52E+25,121506,[1417440 1417320 1417320 1417560 1417560 203160],[1228440 1228440 1228200 1228020 1229100 95700],"""orbits-ok""","""years-ok"""
95,300,2.49E+25,18890000,17270000,300,8,244,4.84E+25,121507,[1417500 1417260 1417380 1417560 1417560 203160],[1228200 1228200 1228020 1227720 1228980 95700],"""orbits-ok""","""years-ok"""
99,300,2.49E+25,18890000,17270000,300,8,150,5.16E+25,121508,[1417500 1417260 1417380 1417620 1417560 203160],[1227960 1228020 1227780 1227480 1228800 95700],"""orbits-ok""","""years-ok"""
97,300,2.49E+25,18890000,17270000,300,8,150,4.52E+25,121506,[1417440 1417320 1417320 1417560 1417560 203160],[1228440 1228440 1228200 1228020 1229100 95700],"""orbits-ok""","""years-ok"""
96,300,2.49E+25,18890000,17270000,300,8,244,5.16E+25,121508,[1417500 1417260 1417380 1417620 1417560 203160],[1227960 1228020 1227780 1227480 1228800 95700],"""orbits-ok""","""years-ok"""
98,300,2.49E+25,18890000,17270000,300,8,150,4.84E+25,121507,[1417500 1417260 1417380 1417560 1417560 203160],[1228200 1228200 1228020 1227720 1228980 95700],"""orbits-ok""","""years-ok"""
102,300,2.49E+25,18890000,17270000,300,145,240,5.16E+25,126892,[1370400 1369740 1377900 1382280 1382100 731100],[1251180 1252440 1236840 1230600 1230660 1230960 95760],"""orbits-ok""","""Kepler-36 b"""
101,300,2.49E+25,18890000,17270000,300,145,240,4.84E+25,126893,[1370400 1369800 1377900 1382280 1382100 731100],[1249920 1251060 1236480 1230660 1230660 1230960 95760],"""orbits-ok""","""Kepler-36 b"""
100,300,2.49E+25,18890000,17270000,300,145,240,4.52E+25,126894,[1370400 1369800 1377960 1382280 1382100 731100],[1248660 1249680 1236120 1230660 1230720 1230960 95760],"""orbits-ok""","""Kepler-36 b"""
103,300,2.49E+25,18890000,17270000,300,145,244,4.52E+25,126894,[1370400 1369800 1377960 1382280 1382100 731100],[1248660 1249680 1236120 1230660 1230720 1230960 95760],"""orbits-ok""","""Kepler-36 b"""
104,300,2.49E+25,18890000,17270000,300,145,244,4.84E+25,126893,[1370400 1369800 1377900 1382280 1382100 731100],[1249920 1251060 1236480 1230660 1230660 1230960 95760],"""orbits-ok""","""Kepler-36 b"""
105,300,2.49E+25,18890000,17270000,300,145,244,5.16E+25,126892,[1370400 1369740 1377900 1382280 1382100 731100],[1251180 1252440 1236840 1230600 1230660 1230960 95760],"""orbits-ok""","""Kepler-36 b"""
106,300,2.49E+25,18890000,17270000,300,145,150,4.52E+25,126894,[1370400 1369800 1377960 1382280 1382100 731100],[1248660 1249680 1236120 1230660 1230720 1230960 95760],"""orbits-ok""","""Kepler-36 b"""
107,300,2.49E+25,18890000,17270000,300,145,150,4.84E+25,126893,[1370400 1369800 1377900 1382280 1382100 731100],[1249920 1251060 1236480 1230660 1230660 1230960 95760],"""orbits-ok""","""Kepler-36 b"""
111,300,2.49E+25,18890000,17270000,150,5,240,5.16E+25,120876,[1411680 1411620 1411800 1410660 1412220 194580],[1135860 1135980 1135680 1136280 1135020 966660],"""orbits-ok""","""Kepler-36 b"""
109,300,2.49E+25,18890000,17270000,150,5,240,4.52E+25,120876,[1411680 1411620 1411800 1410660 1412220 194580],[1135860 1135860 1135620 1136160 1135080 966660],"""orbits-ok""","""Kepler-36 b"""
108,300,2.49E+25,18890000,17270000,300,145,150,5.16E+25,126892,[1370400 1369740 1377900 1382280 1382100 731100],[1251180 1252440 1236840 1230600 1230660 1230960 95760],"""orbits-ok""","""Kepler-36 b"""
110,300,2.49E+25,18890000,17270000,150,5,240,4.84E+25,120876,[1411680 1411620 1411800 1410660 1412220 194580],[1135860 1135920 1135680 1136220 1135020 966660],"""orbits-ok""","""Kepler-36 b"""
113,300,2.49E+25,18890000,17270000,150,5,244,4.84E+25,120876,[1411680 1411620 1411800 1410660 1412220 194580],[1135860 1135920 1135680 1136220 1135020 966660],"""orbits-ok""","""Kepler-36 b"""
112,300,2.49E+25,18890000,17270000,150,5,244,4.52E+25,120876,[1411680 1411620 1411800 1410660 1412220 194580],[1135860 1135860 1135620 1136160 1135080 966660],"""orbits-ok""","""Kepler-36 b"""
