BehaviorSpace results (NetLogo 3D 5.0.4),,,,,,,,,,,,,
/home/ouit-modelling4all/kkahn/models/k-62-updating-experiments.nlogo3d,,,,,,,,,,,,,
The Kepler-62 Experiments Mass ,,,,,,,,,,,,,
09/07/2013 16:39:12:541 +0100,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,
-50,50,-50,50,,,,,,,,,,
The masses of the planets are given in masses of earth,,,,,,,,,,,,,
[run number],d-mass,c-mass,f-mass,b-mass,e-mass,[step],[my-orbits-length] of the-kepler-62-b,[my-orbits-length] of the-kepler-62-c,[my-orbits-length] of the-kepler-62-d,[my-orbits-length] of the-kepler-62-e,[my-orbits-length] of the-kepler-62-f,orbits-ok,years-ok
13,1,0.5,3.5,1,5,256865,[493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494280],[1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075860],[1578960 1578600 1579140 1578780 1578960 1578600 1578960 1578780 1579140 1578780 1578780 1578780 1578960 1578960 1578780 1578780 1578600 1579140 1578780 1578960 1578600 1578960 1578780 1578960 1578960 1578780 1578780 1578960 1579140],[10592460 10605240 10611180 10603080],[23117220 23118480],"""orbits-ok""","""years-ok"""
8,1,0.5,3,5,5.7,256847,[493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494280],[1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075500 1075860],[1578600 1578420 1579320 1578960 1578780 1578240 1578780 1578960 1579140 1578600 1578420 1578600 1579140 1579140 1578600 1578420 1578420 1579140 1578960 1578960 1578240 1578600 1578780 1579320 1578780 1578420 1578420 1578960 1579500],[10577520 10614060 10595160 10607940],[23115780 23116680],"""orbits-ok""","""years-ok"""
3,1,0.5,3,1,6.4,256889,[493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494280],[1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075860],[1578960 1578600 1579140 1578780 1578960 1578600 1578960 1578780 1579140 1578780 1578780 1578780 1578960 1578960 1578780 1578780 1578600 1579140 1578780 1578960 1578600 1578960 1578780 1578960 1578960 1578780 1578780 1578960 1579140],[10592640 10604520 10608840 10602900],[23119200 23120820],"""orbits-ok""","""years-ok"""
4,1,0.5,3,2,5,256858,[494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494280],[1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075860],[1578780 1578600 1579140 1578780 1578960 1578600 1578780 1578960 1578960 1578780 1578780 1578780 1578960 1578960 1578600 1578780 1578600 1579140 1578780 1578960 1578600 1578780 1578780 1579140 1578780 1578780 1578780 1578780 1579320],[10588680 10607040 10605240 10604340],[23116680 23117760],"""orbits-ok""","""years-ok"""
1,1,0.5,3,1,5,256866,[493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494280],[1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075860],[1578960 1578600 1579140 1578780 1578960 1578600 1578960 1578780 1579140 1578780 1578780 1578780 1578960 1578960 1578780 1578780 1578600 1579140 1578780 1578960 1578600 1578960 1578780 1578960 1578960 1578780 1578780 1578960 1579140],[10592640 10604520 10608840 10602900],[23117220 23118660],"""orbits-ok""","""years-ok"""
7,1,0.5,3,5,5,256835,[493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494280],[1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075500 1075860],[1578600 1578420 1579320 1578960 1578780 1578240 1578780 1578960 1579140 1578600 1578420 1578600 1579140 1579140 1578600 1578420 1578420 1579140 1578960 1578960 1578240 1578600 1578780 1579320 1578780 1578420 1578420 1578960 1579500],[10577340 10614060 10595340 10607940],[23114700 23115600],"""orbits-ok""","""years-ok"""
2,1,0.5,3,1,5.7,256877,[493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494280],[1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075860],[1578960 1578600 1579140 1578780 1578960 1578600 1578960 1578780 1579140 1578780 1578780 1578780 1578960 1578960 1578780 1578780 1578600 1579140 1578780 1578960 1578600 1578960 1578780 1578960 1578960 1578780 1578780 1578960 1579140],[10592640 10604520 10608840 10602900],[23118120 23119740],"""orbits-ok""","""years-ok"""
6,1,0.5,3,2,6.4,256881,[494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494280],[1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075860],[1578780 1578600 1579140 1578780 1578960 1578600 1578780 1578960 1578960 1578780 1578780 1578780 1578960 1578960 1578600 1578780 1578600 1579140 1578780 1578960 1578600 1578780 1578780 1579140 1578780 1578780 1578780 1578780 1579320],[10588500 10607040 10605240 10604340],[23118480 23120100],"""orbits-ok""","""years-ok"""
5,1,0.5,3,2,5.7,256870,[494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494280],[1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075860],[1578780 1578600 1579140 1578780 1578960 1578600 1578780 1578960 1578960 1578780 1578780 1578780 1578960 1578960 1578600 1578780 1578600 1579140 1578780 1578960 1578600 1578780 1578780 1579140 1578780 1578780 1578780 1578780 1579320],[10588500 10607040 10605240 10604340],[23117580 23119020],"""orbits-ok""","""years-ok"""
17,1,0.5,3.5,2,5.7,256869,[494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494280],[1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075860],[1578780 1578600 1579140 1578780 1578960 1578600 1578780 1578960 1578960 1578780 1578780 1578780 1578960 1578960 1578600 1578780 1578600 1579140 1578780 1578960 1578600 1578780 1578780 1579140 1578780 1578780 1578780 1578780 1579320],[10588320 10607580 10607760 10604340],[23117400 23119020],"""orbits-ok""","""years-ok"""
